#Pinus sylvestris needle WEIGHTED (1/3 current-year + 2/3 old) reflectance and transmittance, 20160725, from Specchio		
#Hovi A.,  Raitio P., Rautiainen M. (2017). A spectral analysis of 25 boreal tree species. Silva Fennica vol. 51 no. 4 article id 7753. https://doi.org/10.14214/sf.7753		
#wl	R_weighted	T_weighted
1683	0.267	0.204
1684	0.266	0.204
1685	0.266	0.203
1686	0.266	0.203
1687	0.265	0.203
1688	0.265	0.202
1689	0.264	0.202
1690	0.264	0.201
1691	0.263	0.201
1692	0.262	0.200
1693	0.262	0.200
1694	0.261	0.200
1695	0.261	0.199
1696	0.260	0.199
1697	0.260	0.198
1698	0.259	0.198
1699	0.258	0.197
1700	0.258	0.197
1701	0.257	0.196
1702	0.257	0.196
1703	0.256	0.195
1704	0.255	0.195
1705	0.255	0.195
1706	0.254	0.194
1707	0.254	0.194
1708	0.253	0.193
1709	0.253	0.193
1710	0.252	0.192
1711	0.252	0.192
1712	0.251	0.191
1713	0.251	0.191
1714	0.250	0.191
1715	0.249	0.190
1716	0.249	0.190
1717	0.248	0.189
1718	0.248	0.189
1719	0.247	0.189
1720	0.247	0.188
1721	0.246	0.188
1722	0.246	0.187
1723	0.246	0.187
1724	0.245	0.187
1725	0.245	0.186
1726	0.244	0.186
1727	0.244	0.186
1728	0.243	0.185
1729	0.243	0.185
1730	0.243	0.184
1731	0.242	0.184
1732	0.242	0.184
1733	0.241	0.183
1734	0.241	0.183
1735	0.240	0.182
1736	0.240	0.182
1737	0.239	0.182
1738	0.239	0.181
1739	0.238	0.181
1740	0.238	0.180
1741	0.237	0.180
1742	0.237	0.179
1743	0.236	0.179
1744	0.236	0.178
1745	0.235	0.178
1746	0.235	0.177
1747	0.234	0.177
1748	0.233	0.176
1749	0.233	0.176
1750	0.232	0.175
1751	0.231	0.175
1752	0.231	0.174
1753	0.230	0.173
1754	0.229	0.173
1755	0.229	0.172
1756	0.228	0.172
1757	0.228	0.171
1758	0.227	0.171
1759	0.226	0.170
1760	0.226	0.170
1761	0.225	0.169
1762	0.225	0.169
1763	0.224	0.168
1764	0.224	0.168
1765	0.223	0.167
1766	0.223	0.167
1767	0.222	0.166
1768	0.222	0.166
1769	0.221	0.166
1770	0.221	0.165
1771	0.220	0.165
1772	0.220	0.165
1773	0.220	0.164
1774	0.219	0.164
1775	0.219	0.164
1776	0.219	0.164
1777	0.219	0.163
1778	0.218	0.163
1779	0.218	0.163
1780	0.218	0.163
1781	0.218	0.163
1782	0.217	0.162
1783	0.217	0.162
1784	0.217	0.162
1785	0.217	0.162
1786	0.217	0.162
1787	0.217	0.162
1788	0.217	0.162
1789	0.217	0.162
1790	0.217	0.162
1791	0.217	0.162
1792	0.217	0.162
1793	0.217	0.162
1794	0.217	0.162
1795	0.217	0.162
1796	0.217	0.162
1797	0.217	0.162
1798	0.217	0.162
1799	0.217	0.162
1800	0.217	0.162
1801	0.217	0.162
1802	0.217	0.162
1803	0.217	0.162
1804	0.217	0.162
1805	0.217	0.162
1806	0.217	0.163
1807	0.217	0.163
1808	0.217	0.163
1809	0.217	0.163
1810	0.217	0.163
1811	0.218	0.163
1812	0.218	0.163
1813	0.218	0.163
1814	0.218	0.163
1815	0.218	0.163
1816	0.218	0.163
1817	0.218	0.163
1818	0.218	0.164
1819	0.218	0.164
1820	0.218	0.164
1821	0.218	0.164
1822	0.218	0.164
1823	0.218	0.164
1824	0.218	0.164
1825	0.218	0.164
1826	0.218	0.164
1827	0.218	0.164
1828	0.218	0.164
1829	0.218	0.164
1830	0.218	0.163
1831	0.217	0.163
1832	0.217	0.163
1833	0.217	0.163
1834	0.217	0.163
1835	0.216	0.162
1836	0.216	0.162
1837	0.215	0.162
1838	0.215	0.161
1839	0.215	0.161
1840	0.214	0.161
1841	0.213	0.160
1842	0.213	0.159
1843	0.212	0.159
1844	0.211	0.158
1845	0.210	0.157
1846	0.209	0.156
1847	0.208	0.155
1848	0.207	0.154
1849	0.206	0.153
1850	0.204	0.152
1851	0.203	0.151
1852	0.201	0.149
1853	0.200	0.148
1854	0.198	0.146
1855	0.196	0.145
1856	0.194	0.143
1857	0.192	0.141
1858	0.190	0.139
1859	0.187	0.137
1860	0.185	0.135
1861	0.182	0.132
1862	0.179	0.130
1863	0.176	0.127
1864	0.173	0.125
1865	0.170	0.122
1866	0.166	0.119
1867	0.163	0.116
1868	0.159	0.113
1869	0.155	0.109
1870	0.151	0.106
1871	0.147	0.103
1872	0.143	0.100
1873	0.139	0.096
1874	0.135	0.093
1875	0.131	0.089
1876	0.126	0.086
1877	0.122	0.083
1878	0.118	0.079
1879	0.114	0.076
1880	0.110	0.073
1881	0.106	0.070
1882	0.102	0.067
1883	0.098	0.064
1884	0.094	0.061
1885	0.090	0.058
1886	0.087	0.056
1887	0.083	0.053
1888	0.080	0.051
1889	0.077	0.049
1890	0.074	0.047
1891	0.071	0.045
1892	0.068	0.043
1893	0.066	0.041
1894	0.063	0.040
1895	0.061	0.038
1896	0.059	0.037
1897	0.057	0.036
1898	0.055	0.035
1899	0.053	0.034
1900	0.052	0.033
1901	0.050	0.032
1902	0.049	0.031
1903	0.048	0.030
1904	0.047	0.030
1905	0.046	0.029
1906	0.045	0.029
1907	0.044	0.028
1908	0.044	0.028
1909	0.043	0.027
1910	0.042	0.027
1911	0.042	0.027
1912	0.042	0.027
1913	0.041	0.026
1914	0.041	0.026
1915	0.041	0.026
1916	0.040	0.026
1917	0.040	0.026
1918	0.040	0.026
1919	0.040	0.026
1920	0.040	0.025
1921	0.039	0.025
1922	0.039	0.025
1923	0.039	0.025
1924	0.039	0.025
1925	0.039	0.025
1926	0.039	0.025
1927	0.039	0.025
1928	0.039	0.025
1929	0.039	0.025
1930	0.039	0.025
1931	0.039	0.025
1932	0.039	0.025
1933	0.039	0.025
1934	0.039	0.026
1935	0.039	0.026
1936	0.039	0.026
1937	0.039	0.026
1938	0.039	0.026
1939	0.039	0.026
1940	0.040	0.026
1941	0.040	0.026
1942	0.040	0.026
1943	0.040	0.026
1944	0.040	0.026
1945	0.040	0.026
1946	0.040	0.026
1947	0.040	0.027
1948	0.041	0.027
1949	0.041	0.027
1950	0.041	0.027
1951	0.041	0.027
1952	0.041	0.027
1953	0.042	0.027
1954	0.042	0.027
1955	0.042	0.028
1956	0.042	0.028
1957	0.043	0.028
1958	0.043	0.028
1959	0.043	0.028
1960	0.043	0.028
1961	0.044	0.028
1962	0.044	0.028
1963	0.044	0.029
1964	0.045	0.029
1965	0.045	0.029
1966	0.045	0.029
1967	0.046	0.029
1968	0.046	0.029
1969	0.046	0.030
1970	0.047	0.030
1971	0.047	0.030
1972	0.047	0.030
1973	0.048	0.030
1974	0.048	0.031
1975	0.048	0.031
1976	0.049	0.031
1977	0.049	0.031
1978	0.049	0.032
1979	0.050	0.032
1980	0.050	0.032
1981	0.050	0.032
1982	0.051	0.033
1983	0.051	0.033
1984	0.051	0.033
1985	0.052	0.033
1986	0.052	0.034
1987	0.053	0.034
1988	0.053	0.034
1989	0.053	0.034
1990	0.054	0.035
1991	0.054	0.035
1992	0.055	0.035
1993	0.055	0.035
1994	0.055	0.036
1995	0.056	0.036
1996	0.056	0.036
1997	0.057	0.036
1998	0.057	0.037
1999	0.058	0.037
2000	0.058	0.037
2001	0.059	0.038
2002	0.059	0.038
2003	0.059	0.038
2004	0.060	0.038
2005	0.060	0.039
2006	0.061	0.039
2007	0.061	0.039
2008	0.062	0.040
2009	0.062	0.040
2010	0.063	0.040
2011	0.063	0.040
2012	0.063	0.041
2013	0.064	0.041
2014	0.064	0.041
2015	0.065	0.042
2016	0.065	0.042
2017	0.065	0.042
2018	0.066	0.042
2019	0.066	0.043
2020	0.067	0.043
2021	0.067	0.043
2022	0.067	0.044
2023	0.068	0.044
2024	0.068	0.044
2025	0.068	0.044
2026	0.069	0.045
2027	0.069	0.045
2028	0.070	0.045
2029	0.070	0.046
2030	0.070	0.046
2031	0.071	0.046
2032	0.071	0.046
2033	0.071	0.047
2034	0.072	0.047
2035	0.072	0.047
2036	0.072	0.047
2037	0.073	0.048
2038	0.073	0.048
2039	0.074	0.048
2040	0.074	0.048
2041	0.074	0.049
2042	0.075	0.049
2043	0.075	0.049
2044	0.075	0.049
2045	0.076	0.049
2046	0.076	0.050
2047	0.076	0.050
2048	0.076	0.050
2049	0.077	0.050
2050	0.077	0.051
2051	0.077	0.051
2052	0.078	0.051
2053	0.078	0.051
2054	0.078	0.051
2055	0.079	0.052
2056	0.079	0.052
2057	0.079	0.052
2058	0.079	0.052
2059	0.080	0.053
2060	0.080	0.053
2061	0.080	0.053
2062	0.081	0.053
2063	0.081	0.054
2064	0.081	0.054
2065	0.082	0.054
2066	0.082	0.054
2067	0.082	0.055
2068	0.082	0.055
2069	0.083	0.055
2070	0.083	0.055
2071	0.083	0.056
2072	0.084	0.056
2073	0.084	0.056
2074	0.084	0.056
2075	0.085	0.057
2076	0.085	0.057
2077	0.085	0.057
2078	0.086	0.057
2079	0.086	0.058
2080	0.086	0.058
2081	0.087	0.058
2082	0.087	0.058
2083	0.087	0.059
2084	0.088	0.059
2085	0.088	0.059
2086	0.088	0.060
2087	0.089	0.060
2088	0.089	0.060
2089	0.089	0.060
2090	0.090	0.061
2091	0.090	0.061
2092	0.090	0.061
2093	0.091	0.061
2094	0.091	0.062
2095	0.091	0.062
2096	0.092	0.062
2097	0.092	0.063
2098	0.092	0.063
2099	0.093	0.063
2100	0.093	0.063
2101	0.093	0.064
2102	0.094	0.064
2103	0.094	0.064
2104	0.094	0.065
2105	0.095	0.065
2106	0.095	0.065
2107	0.095	0.066
2108	0.096	0.066
2109	0.096	0.066
2110	0.097	0.067
2111	0.097	0.067
2112	0.097	0.067
2113	0.098	0.067
2114	0.098	0.068
2115	0.098	0.068
2116	0.099	0.068
2117	0.099	0.069
2118	0.099	0.069
2119	0.100	0.069
2120	0.100	0.070
2121	0.100	0.070
2122	0.101	0.071
2123	0.101	0.071
2124	0.101	0.071
2125	0.102	0.072
2126	0.102	0.072
2127	0.102	0.072
2128	0.103	0.072
2129	0.103	0.073
2130	0.104	0.073
2131	0.104	0.073
2132	0.104	0.074
2133	0.105	0.074
2134	0.105	0.074
2135	0.105	0.074
2136	0.105	0.075
2137	0.106	0.075
2138	0.106	0.075
2139	0.106	0.075
2140	0.107	0.076
2141	0.107	0.076
2142	0.107	0.076
2143	0.108	0.076
2144	0.108	0.077
2145	0.108	0.077
2146	0.109	0.077
2147	0.109	0.077
2148	0.109	0.078
2149	0.109	0.078
2150	0.110	0.078
2151	0.110	0.078
2152	0.110	0.079
2153	0.111	0.079
2154	0.111	0.079
2155	0.111	0.079
2156	0.111	0.080
2157	0.112	0.080
2158	0.112	0.080
2159	0.112	0.081
2160	0.112	0.081
2161	0.113	0.081
2162	0.113	0.081
2163	0.113	0.082
2164	0.113	0.082
2165	0.114	0.082
2166	0.114	0.082
2167	0.114	0.083
2168	0.114	0.083
2169	0.115	0.083
2170	0.115	0.083
2171	0.115	0.083
2172	0.115	0.084
2173	0.115	0.084
2174	0.116	0.084
2175	0.116	0.084
2176	0.116	0.085
2177	0.116	0.085
2178	0.117	0.085
2179	0.117	0.085
2180	0.117	0.085
2181	0.118	0.086
2182	0.118	0.086
2183	0.118	0.086
2184	0.118	0.086
2185	0.119	0.087
2186	0.119	0.087
2187	0.119	0.087
2188	0.119	0.087
2189	0.120	0.088
2190	0.120	0.088
2191	0.120	0.088
2192	0.120	0.088
2193	0.120	0.089
2194	0.121	0.089
2195	0.121	0.089
2196	0.121	0.089
2197	0.121	0.089
2198	0.121	0.089
2199	0.121	0.090
2200	0.122	0.090
2201	0.122	0.090
2202	0.122	0.090
2203	0.122	0.090
2204	0.122	0.090
2205	0.122	0.090
2206	0.122	0.090
2207	0.123	0.090
2208	0.123	0.091
2209	0.123	0.091
2210	0.123	0.091
2211	0.123	0.091
2212	0.123	0.091
2213	0.123	0.091
2214	0.123	0.091
2215	0.123	0.091
2216	0.123	0.091
2217	0.123	0.091
2218	0.123	0.091
2219	0.123	0.091
2220	0.123	0.091
2221	0.123	0.091
2222	0.123	0.091
2223	0.123	0.091
2224	0.123	0.091
2225	0.123	0.091
2226	0.122	0.091
2227	0.122	0.091
2228	0.122	0.090
2229	0.122	0.090
2230	0.121	0.090
2231	0.121	0.090
2232	0.121	0.090
2233	0.121	0.089
2234	0.120	0.089
2235	0.120	0.089
2236	0.119	0.089
2237	0.119	0.088
2238	0.119	0.088
2239	0.118	0.087
2240	0.118	0.087
2241	0.117	0.087
2242	0.117	0.086
2243	0.116	0.086
2244	0.115	0.085
2245	0.115	0.085
2246	0.114	0.084
2247	0.114	0.084
2248	0.113	0.083
2249	0.112	0.083
2250	0.112	0.082
2251	0.111	0.082
2252	0.111	0.081
2253	0.110	0.081
2254	0.109	0.080
2255	0.109	0.080
2256	0.108	0.079
2257	0.107	0.079
2258	0.107	0.078
2259	0.106	0.078
2260	0.106	0.077
2261	0.105	0.077
2262	0.104	0.076
2263	0.104	0.076
2264	0.103	0.076
2265	0.102	0.075
2266	0.102	0.075
2267	0.101	0.074
2268	0.101	0.074
2269	0.100	0.074
2270	0.100	0.073
2271	0.099	0.073
2272	0.099	0.073
2273	0.098	0.072
2274	0.098	0.072
2275	0.098	0.072
2276	0.097	0.072
2277	0.097	0.071
2278	0.097	0.071
2279	0.096	0.071
2280	0.096	0.070
2281	0.096	0.070
2282	0.095	0.070
2283	0.095	0.070
2284	0.095	0.069
2285	0.095	0.069
2286	0.094	0.069
2287	0.094	0.068
2288	0.094	0.068
2289	0.094	0.068
2290	0.093	0.067
2291	0.093	0.067
2292	0.092	0.067
2293	0.092	0.066
2294	0.092	0.066
2295	0.091	0.066
2296	0.091	0.065
2297	0.090	0.065
2298	0.090	0.065
2299	0.089	0.065
2300	0.089	0.065
2301	0.089	0.064
2302	0.088	0.064
2303	0.088	0.064
2304	0.088	0.064
2305	0.088	0.063
2306	0.087	0.063
2307	0.087	0.063
2308	0.087	0.063
2309	0.086	0.063
2310	0.086	0.062
2311	0.086	0.062
2312	0.086	0.062
2313	0.085	0.062
2314	0.085	0.062
2315	0.085	0.061
2316	0.084	0.061
2317	0.084	0.061
2318	0.084	0.061
2319	0.084	0.061
2320	0.083	0.061
2321	0.083	0.060
2322	0.083	0.060
2323	0.083	0.060
2324	0.082	0.060
2325	0.082	0.060
2326	0.082	0.060
2327	0.082	0.059
2328	0.081	0.059
2329	0.081	0.059
2330	0.081	0.059
2331	0.081	0.059
2332	0.080	0.059
2333	0.080	0.058
2334	0.080	0.058
2335	0.080	0.058
2336	0.079	0.058
2337	0.079	0.058
2338	0.079	0.058
2339	0.079	0.057
2340	0.078	0.057
2341	0.078	0.057
2342	0.078	0.057
2343	0.078	0.057
2344	0.077	0.057
2345	0.077	0.056
2346	0.077	0.056
2347	0.077	0.056
2348	0.076	0.056
2349	0.076	0.056
2350	0.076	0.055
2351	0.076	0.055
2352	0.075	0.055
2353	0.075	0.055
2354	0.075	0.055
2355	0.075	0.055
2356	0.074	0.054
2357	0.074	0.054
2358	0.074	0.054
2359	0.073	0.054
2360	0.073	0.054
2361	0.073	0.054
2362	0.073	0.053
2363	0.072	0.053
2364	0.072	0.053
2365	0.072	0.053
2366	0.072	0.053
2367	0.071	0.053
2368	0.071	0.052
2369	0.071	0.052
2370	0.071	0.052
2371	0.070	0.052
2372	0.070	0.052
2373	0.070	0.052
2374	0.070	0.052
2375	0.069	0.052
2376	0.069	0.051
2377	0.069	0.051
2378	0.069	0.051
2379	0.068	0.051
2380	0.068	0.051
2381	0.068	0.051
2382	0.068	0.051
2383	0.067	0.050
2384	0.067	0.050
2385	0.067	0.050
2386	0.067	0.050
2387	0.066	0.050
2388	0.066	0.050
2389	0.066	0.050
2390	0.066	0.049
2391	0.065	0.049
2392	0.065	0.049
2393	0.065	0.049
2394	0.065	0.049
2395	0.064	0.048
2396	0.064	0.048
2397	0.064	0.048
2398	0.064	0.048
2399	0.063	0.048
2400	0.063	0.048
2401	0.063	0.047
2402	0.062	0.047
2403	0.062	0.047
2404	0.062	0.047
2405	0.061	0.047
2406	0.061	0.046
2407	0.061	0.046
2408	0.060	0.046
2409	0.060	0.046
2410	0.060	0.045
2411	0.059	0.045
2412	0.059	0.045
2413	0.059	0.045
2414	0.058	0.045
2415	0.058	0.044
2416	0.058	0.044
2417	0.057	0.044
2418	0.057	0.044
2419	0.056	0.043
2420	0.056	0.043
2421	0.056	0.043
2422	0.055	0.043
2423	0.055	0.043
2424	0.055	0.042
2425	0.054	0.042
2426	0.054	0.042
2427	0.054	0.042
2428	0.053	0.042
2429	0.053	0.042
2430	0.053	0.041
2431	0.052	0.041
2432	0.052	0.041
2433	0.052	0.041
2434	0.051	0.041
2435	0.051	0.041
2436	0.051	0.041
2437	0.051	0.041
2438	0.050	0.041
2439	0.050	0.041
2440	0.050	0.040
2441	0.050	0.040
2442	0.049	0.040
2443	0.049	0.040
2444	0.049	0.040
2445	0.049	0.040
2446	0.049	0.040
2447	0.048	0.040
2448	0.048	0.040
2449	0.048	0.040
2450	0.048	0.040
2451	0.048	0.040
2452	0.048	0.040
2453	0.047	0.040
2454	0.047	0.040
2455	0.047	0.039
2456	0.047	0.039
2457	0.047	0.039
2458	0.047	0.039
2459	0.047	0.039
2460	0.047	0.039
2461	0.047	0.039
2462	0.047	0.039
2463	0.046	0.039
2464	0.046	0.039
2465	0.046	0.039
2466	0.046	0.039
2467	0.046	0.039
2468	0.046	0.039
2469	0.046	0.039
2470	0.046	0.039
2471	0.046	0.039
2472	0.046	0.039
2473	0.046	0.039
2474	0.046	0.039
2475	0.046	0.039
2476	0.046	0.039
2477	0.046	0.039
2478	0.046	0.038
2479	0.046	0.038
2480	0.046	0.038
2481	0.046	0.038
2482	0.046	0.038
2483	0.046	0.038
2484	0.046	0.038
2485	0.047	0.038
2486	0.047	0.038
2487	0.047	0.038
2488	0.047	0.038
2489	0.047	0.038
2490	0.047	0.038
2491	0.047	0.038
2492	0.047	0.038
2493	0.047	0.038
2494	0.047	0.038
2495	0.047	0.038
2496	0.048	0.038
2497	0.048	0.038
2498	0.048	0.038
2499	0.048	0.038
2500	0.048	0.038
