#Pinus sylvestris needle WEIGHTED (1/3 current-year + 2/3 old) reflectance and transmittance, 20160725, from Specchio		
#Hovi A.,  Raitio P., Rautiainen M. (2017). A spectral analysis of 25 boreal tree species. Silva Fennica vol. 51 no. 4 article id 7753. https://doi.org/10.14214/sf.7753		
#wl	R_weighted	T_weighted
703	0.159	0.096
704	0.168	0.104
705	0.178	0.112
706	0.187	0.121
707	0.196	0.129
708	0.206	0.138
709	0.216	0.147
710	0.225	0.156
711	0.235	0.166
712	0.245	0.175
713	0.255	0.184
714	0.264	0.194
715	0.274	0.203
716	0.283	0.213
717	0.293	0.222
718	0.302	0.231
719	0.311	0.241
720	0.320	0.250
721	0.329	0.259
722	0.338	0.267
723	0.346	0.276
724	0.354	0.284
725	0.362	0.292
726	0.370	0.300
727	0.377	0.307
728	0.384	0.314
729	0.390	0.321
730	0.397	0.327
731	0.402	0.333
732	0.408	0.338
733	0.413	0.344
734	0.418	0.349
735	0.423	0.353
736	0.427	0.358
737	0.431	0.362
738	0.435	0.365
739	0.439	0.369
740	0.442	0.372
741	0.445	0.375
742	0.448	0.378
743	0.450	0.380
744	0.453	0.383
745	0.455	0.385
746	0.457	0.387
747	0.459	0.388
748	0.460	0.390
749	0.462	0.392
750	0.463	0.393
751	0.465	0.394
752	0.466	0.395
753	0.467	0.396
754	0.468	0.397
755	0.469	0.397
756	0.469	0.398
757	0.470	0.398
758	0.471	0.399
759	0.471	0.399
760	0.472	0.400
761	0.472	0.400
762	0.472	0.400
763	0.473	0.400
764	0.473	0.401
765	0.473	0.401
766	0.474	0.401
767	0.474	0.401
768	0.474	0.401
769	0.474	0.401
770	0.474	0.401
771	0.475	0.401
772	0.475	0.401
773	0.475	0.401
774	0.475	0.401
775	0.475	0.401
776	0.475	0.401
777	0.475	0.401
778	0.475	0.401
779	0.475	0.401
780	0.475	0.401
781	0.476	0.401
782	0.476	0.401
783	0.476	0.401
784	0.476	0.401
785	0.476	0.401
786	0.476	0.401
787	0.476	0.401
788	0.476	0.401
789	0.476	0.401
790	0.476	0.401
791	0.476	0.401
792	0.476	0.401
793	0.476	0.401
794	0.477	0.401
795	0.477	0.401
796	0.477	0.401
797	0.477	0.401
798	0.477	0.401
799	0.477	0.401
800	0.477	0.401
801	0.477	0.401
802	0.477	0.401
803	0.477	0.401
804	0.477	0.401
805	0.477	0.401
806	0.477	0.401
807	0.477	0.401
808	0.478	0.401
809	0.478	0.401
810	0.478	0.401
811	0.478	0.401
812	0.478	0.401
813	0.478	0.401
814	0.478	0.401
815	0.478	0.401
816	0.478	0.401
817	0.478	0.401
818	0.478	0.401
819	0.478	0.401
820	0.478	0.401
821	0.478	0.401
822	0.479	0.401
823	0.479	0.401
824	0.479	0.401
825	0.479	0.401
826	0.479	0.401
827	0.479	0.401
828	0.479	0.401
829	0.479	0.401
830	0.479	0.401
831	0.479	0.401
832	0.479	0.401
833	0.479	0.401
834	0.479	0.401
835	0.479	0.401
836	0.479	0.401
837	0.480	0.401
838	0.480	0.401
839	0.480	0.401
840	0.480	0.401
841	0.480	0.401
842	0.480	0.401
843	0.480	0.401
844	0.480	0.401
845	0.480	0.401
846	0.481	0.401
847	0.481	0.401
848	0.481	0.401
849	0.481	0.401
850	0.481	0.401
851	0.481	0.401
852	0.481	0.401
853	0.481	0.401
854	0.481	0.401
855	0.481	0.401
856	0.482	0.401
857	0.482	0.401
858	0.482	0.401
859	0.482	0.401
860	0.482	0.401
861	0.482	0.401
862	0.482	0.401
863	0.482	0.401
864	0.482	0.401
865	0.482	0.401
866	0.482	0.401
867	0.483	0.401
868	0.483	0.401
869	0.483	0.401
870	0.483	0.401
871	0.483	0.401
872	0.483	0.401
873	0.483	0.401
874	0.483	0.401
875	0.483	0.401
876	0.483	0.401
877	0.483	0.401
878	0.483	0.401
879	0.483	0.401
880	0.483	0.401
881	0.483	0.401
882	0.483	0.401
883	0.483	0.401
884	0.483	0.401
885	0.484	0.401
886	0.484	0.401
887	0.484	0.401
888	0.484	0.400
889	0.484	0.400
890	0.484	0.400
891	0.484	0.400
892	0.484	0.400
893	0.484	0.400
894	0.484	0.400
895	0.484	0.400
896	0.484	0.400
897	0.484	0.400
898	0.484	0.400
899	0.484	0.400
900	0.484	0.400
901	0.484	0.400
902	0.484	0.400
903	0.484	0.399
904	0.484	0.399
905	0.484	0.399
906	0.484	0.399
907	0.484	0.399
908	0.484	0.399
909	0.484	0.399
910	0.484	0.399
911	0.484	0.399
912	0.484	0.399
913	0.484	0.399
914	0.484	0.398
915	0.484	0.398
916	0.484	0.398
917	0.484	0.398
918	0.484	0.398
919	0.484	0.398
920	0.483	0.398
921	0.483	0.398
922	0.483	0.397
923	0.483	0.397
924	0.483	0.397
925	0.483	0.397
926	0.483	0.397
927	0.483	0.397
928	0.483	0.396
929	0.483	0.396
930	0.483	0.396
931	0.482	0.396
932	0.482	0.395
933	0.482	0.395
934	0.482	0.395
935	0.482	0.395
936	0.481	0.394
937	0.481	0.394
938	0.481	0.393
939	0.481	0.393
940	0.480	0.393
941	0.480	0.392
942	0.480	0.392
943	0.479	0.391
944	0.479	0.391
945	0.478	0.391
946	0.478	0.390
947	0.478	0.389
948	0.477	0.389
949	0.476	0.388
950	0.476	0.388
951	0.475	0.387
952	0.475	0.386
953	0.474	0.385
954	0.473	0.384
955	0.472	0.384
956	0.472	0.383
957	0.471	0.382
958	0.471	0.382
959	0.470	0.381
960	0.469	0.380
961	0.469	0.380
962	0.469	0.379
963	0.468	0.379
964	0.468	0.379
965	0.468	0.378
966	0.468	0.378
967	0.467	0.378
968	0.467	0.377
969	0.467	0.377
970	0.467	0.377
971	0.467	0.377
972	0.467	0.377
973	0.467	0.377
974	0.467	0.376
975	0.467	0.376
976	0.467	0.376
977	0.467	0.376
978	0.467	0.376
979	0.467	0.376
980	0.467	0.376
981	0.467	0.376
982	0.467	0.376
983	0.467	0.376
984	0.467	0.376
985	0.467	0.376
986	0.467	0.377
987	0.468	0.377
988	0.468	0.377
989	0.468	0.377
990	0.468	0.377
991	0.468	0.377
992	0.469	0.377
993	0.469	0.378
994	0.469	0.378
995	0.469	0.378
996	0.470	0.378
997	0.470	0.379
998	0.470	0.379
999	0.471	0.379
1000	0.472	0.380
1001	0.472	0.380
1002	0.472	0.380
1003	0.473	0.381
1004	0.473	0.381
1005	0.474	0.381
1006	0.474	0.382
1007	0.475	0.382
1008	0.475	0.382
1009	0.475	0.383
1010	0.476	0.383
1011	0.476	0.383
1012	0.477	0.383
1013	0.477	0.384
1014	0.477	0.384
1015	0.478	0.384
1016	0.478	0.384
1017	0.478	0.385
1018	0.479	0.385
1019	0.479	0.385
1020	0.479	0.385
1021	0.479	0.385
1022	0.480	0.386
1023	0.480	0.386
1024	0.480	0.386
1025	0.481	0.386
1026	0.481	0.387
1027	0.481	0.387
1028	0.481	0.387
1029	0.482	0.387
1030	0.482	0.388
1031	0.482	0.388
1032	0.482	0.388
1033	0.483	0.388
1034	0.483	0.388
1035	0.483	0.389
1036	0.483	0.389
1037	0.484	0.389
1038	0.484	0.389
1039	0.484	0.389
1040	0.484	0.389
1041	0.485	0.390
1042	0.485	0.390
1043	0.485	0.390
1044	0.485	0.390
1045	0.485	0.390
1046	0.485	0.390
1047	0.486	0.390
1048	0.486	0.391
1049	0.486	0.391
1050	0.486	0.391
1051	0.486	0.391
1052	0.486	0.391
1053	0.487	0.391
1054	0.487	0.391
1055	0.487	0.391
1056	0.487	0.391
1057	0.487	0.391
1058	0.487	0.391
1059	0.487	0.392
1060	0.487	0.392
1061	0.488	0.392
1062	0.488	0.392
1063	0.488	0.392
1064	0.488	0.392
1065	0.488	0.392
1066	0.488	0.392
1067	0.488	0.392
1068	0.488	0.392
1069	0.488	0.392
1070	0.488	0.392
1071	0.488	0.392
1072	0.488	0.392
1073	0.488	0.392
1074	0.488	0.392
1075	0.488	0.392
1076	0.488	0.392
1077	0.488	0.392
1078	0.488	0.392
1079	0.488	0.392
1080	0.488	0.392
1081	0.488	0.392
1082	0.488	0.392
1083	0.488	0.392
1084	0.488	0.392
1085	0.488	0.392
1086	0.488	0.392
1087	0.488	0.392
1088	0.488	0.391
1089	0.488	0.391
1090	0.488	0.391
1091	0.488	0.391
1092	0.488	0.391
1093	0.488	0.391
1094	0.488	0.391
1095	0.487	0.391
1096	0.487	0.391
1097	0.487	0.391
1098	0.487	0.391
1099	0.487	0.390
1100	0.487	0.390
1101	0.487	0.390
1102	0.487	0.390
1103	0.487	0.390
1104	0.486	0.390
1105	0.486	0.390
1106	0.486	0.390
1107	0.486	0.389
1108	0.486	0.389
1109	0.486	0.389
1110	0.486	0.389
1111	0.485	0.389
1112	0.485	0.389
1113	0.485	0.388
1114	0.485	0.388
1115	0.485	0.388
1116	0.484	0.388
1117	0.484	0.388
1118	0.484	0.387
1119	0.483	0.387
1120	0.483	0.387
1121	0.483	0.386
1122	0.482	0.386
1123	0.482	0.386
1124	0.481	0.385
1125	0.481	0.385
1126	0.480	0.384
1127	0.479	0.383
1128	0.479	0.383
1129	0.478	0.382
1130	0.477	0.381
1131	0.476	0.380
1132	0.475	0.379
1133	0.474	0.378
1134	0.472	0.377
1135	0.471	0.376
1136	0.470	0.374
1137	0.468	0.373
1138	0.467	0.372
1139	0.465	0.370
1140	0.464	0.369
1141	0.462	0.367
1142	0.460	0.366
1143	0.459	0.364
1144	0.457	0.363
1145	0.455	0.361
1146	0.454	0.360
1147	0.452	0.358
1148	0.451	0.357
1149	0.449	0.355
1150	0.448	0.354
1151	0.446	0.353
1152	0.445	0.351
1153	0.444	0.350
1154	0.442	0.349
1155	0.441	0.348
1156	0.440	0.347
1157	0.439	0.346
1158	0.438	0.345
1159	0.437	0.345
1160	0.437	0.344
1161	0.436	0.343
1162	0.435	0.343
1163	0.435	0.342
1164	0.434	0.342
1165	0.434	0.341
1166	0.433	0.341
1167	0.433	0.341
1168	0.432	0.340
1169	0.432	0.340
1170	0.432	0.340
1171	0.431	0.340
1172	0.431	0.339
1173	0.431	0.339
1174	0.431	0.339
1175	0.430	0.339
1176	0.430	0.338
1177	0.430	0.338
1178	0.430	0.338
1179	0.429	0.338
1180	0.429	0.338
1181	0.429	0.337
1182	0.428	0.337
1183	0.428	0.337
1184	0.428	0.337
1185	0.428	0.337
1186	0.427	0.336
1187	0.427	0.336
1188	0.427	0.336
1189	0.427	0.336
1190	0.426	0.336
1191	0.426	0.335
1192	0.426	0.335
1193	0.426	0.335
1194	0.426	0.335
1195	0.426	0.335
1196	0.426	0.335
1197	0.426	0.335
1198	0.426	0.335
1199	0.426	0.335
1200	0.426	0.335
1201	0.426	0.335
1202	0.426	0.335
1203	0.426	0.335
1204	0.426	0.335
1205	0.426	0.335
1206	0.426	0.336
1207	0.426	0.336
1208	0.427	0.336
1209	0.427	0.336
1210	0.427	0.336
1211	0.427	0.337
1212	0.428	0.337
1213	0.428	0.337
1214	0.428	0.338
1215	0.428	0.338
1216	0.429	0.338
1217	0.429	0.338
1218	0.430	0.339
1219	0.430	0.339
1220	0.430	0.339
1221	0.431	0.340
1222	0.431	0.340
1223	0.431	0.341
1224	0.432	0.341
1225	0.432	0.341
1226	0.433	0.342
1227	0.433	0.342
1228	0.433	0.342
1229	0.434	0.343
1230	0.434	0.343
1231	0.435	0.343
1232	0.435	0.344
1233	0.435	0.344
1234	0.436	0.344
1235	0.436	0.345
1236	0.436	0.345
1237	0.437	0.345
1238	0.437	0.346
1239	0.437	0.346
1240	0.438	0.346
1241	0.438	0.346
1242	0.438	0.347
1243	0.439	0.347
1244	0.439	0.347
1245	0.439	0.347
1246	0.439	0.348
1247	0.440	0.348
1248	0.440	0.348
1249	0.440	0.348
1250	0.440	0.349
1251	0.441	0.349
1252	0.441	0.349
1253	0.441	0.349
1254	0.441	0.349
1255	0.441	0.349
1256	0.441	0.350
1257	0.442	0.350
1258	0.442	0.350
1259	0.442	0.350
1260	0.442	0.350
1261	0.442	0.350
1262	0.442	0.350
1263	0.442	0.350
1264	0.442	0.350
1265	0.442	0.350
1266	0.442	0.350
1267	0.442	0.350
1268	0.442	0.351
1269	0.442	0.351
1270	0.442	0.351
1271	0.442	0.350
1272	0.442	0.350
1273	0.442	0.350
1274	0.442	0.350
1275	0.442	0.350
1276	0.442	0.350
1277	0.442	0.350
1278	0.442	0.350
1279	0.442	0.350
1280	0.441	0.350
1281	0.441	0.350
1282	0.441	0.349
1283	0.441	0.349
1284	0.441	0.349
1285	0.440	0.349
1286	0.440	0.349
1287	0.440	0.348
1288	0.440	0.348
1289	0.439	0.348
1290	0.439	0.348
1291	0.438	0.347
1292	0.438	0.347
1293	0.438	0.346
1294	0.437	0.346
1295	0.437	0.346
1296	0.436	0.345
1297	0.436	0.345
1298	0.435	0.344
1299	0.435	0.344
1300	0.434	0.343
1301	0.433	0.343
1302	0.433	0.342
1303	0.432	0.341
1304	0.431	0.341
1305	0.430	0.340
1306	0.429	0.339
1307	0.429	0.338
1308	0.428	0.338
1309	0.427	0.337
1310	0.426	0.336
1311	0.425	0.335
1312	0.424	0.334
1313	0.423	0.333
1314	0.422	0.332
1315	0.420	0.331
1316	0.419	0.330
1317	0.418	0.329
1318	0.417	0.328
1319	0.415	0.327
1320	0.414	0.325
1321	0.413	0.324
1322	0.411	0.323
1323	0.410	0.322
1324	0.408	0.320
1325	0.407	0.319
1326	0.405	0.318
1327	0.404	0.316
1328	0.402	0.315
1329	0.400	0.313
1330	0.399	0.312
1331	0.397	0.310
1332	0.395	0.309
1333	0.394	0.307
1334	0.392	0.306
1335	0.390	0.304
1336	0.389	0.303
1337	0.387	0.301
1338	0.385	0.300
1339	0.384	0.298
1340	0.382	0.297
1341	0.380	0.295
1342	0.379	0.294
1343	0.377	0.292
1344	0.375	0.291
1345	0.374	0.290
1346	0.372	0.288
1347	0.371	0.287
1348	0.369	0.286
1349	0.368	0.284
1350	0.366	0.283
1351	0.365	0.282
1352	0.363	0.281
1353	0.362	0.279
1354	0.360	0.278
1355	0.359	0.277
1356	0.357	0.276
1357	0.356	0.274
1358	0.354	0.273
1359	0.353	0.272
1360	0.351	0.270
1361	0.349	0.269
1362	0.348	0.267
1363	0.346	0.266
1364	0.344	0.264
1365	0.342	0.263
1366	0.340	0.261
1367	0.338	0.259
1368	0.336	0.257
1369	0.334	0.255
1370	0.331	0.252
1371	0.328	0.250
1372	0.326	0.247
1373	0.322	0.245
1374	0.319	0.242
1375	0.316	0.239
1376	0.312	0.235
1377	0.308	0.232
1378	0.304	0.228
1379	0.300	0.225
1380	0.296	0.221
1381	0.291	0.217
1382	0.286	0.212
1383	0.281	0.208
1384	0.276	0.203
1385	0.271	0.199
1386	0.265	0.194
1387	0.260	0.189
1388	0.254	0.184
1389	0.248	0.179
1390	0.242	0.174
1391	0.237	0.169
1392	0.231	0.164
1393	0.225	0.159
1394	0.219	0.154
1395	0.214	0.149
1396	0.208	0.144
1397	0.203	0.140
1398	0.197	0.135
1399	0.192	0.131
1400	0.187	0.127
1401	0.182	0.123
1402	0.178	0.119
1403	0.173	0.115
